id,pais,ciudad,region_geografica,servicio,metrica,spearman_rho,p_valor,significativo
8,México,San Luis Potosí,Centro-Norte,parque,degree_c,-0.1243,0.0,True
8,México,San Luis Potosí,Centro-Norte,policia,betweenness_c,-0.0561,0.0,True
8,México,San Luis Potosí,Centro-Norte,policia,closeness_c,-0.2602,0.0,True
8,México,San Luis Potosí,Centro-Norte,policia,degree_c,-0.0656,0.0,True
9,México,Querétaro,Bajío (Centro),bomberos,betweenness_c,-0.0758,0.0,True
9,México,Querétaro,Bajío (Centro),bomberos,closeness_c,-0.3381,0.0,True
9,México,Querétaro,Bajío (Centro),bomberos,degree_c,-0.1151,0.0,True
9,México,Querétaro,Bajío (Centro),clinica,betweenness_c,-0.0919,0.0,True
9,México,Querétaro,Bajío (Centro),clinica,closeness_c,-0.3706,0.0,True
9,México,Querétaro,Bajío (Centro),clinica,degree_c,-0.0947,0.0,True
9,México,Querétaro,Bajío (Centro),escuela,betweenness_c,-0.1317,0.0,True
9,México,Querétaro,Bajío (Centro),escuela,closeness_c,-0.1828,0.0,True
9,México,Querétaro,Bajío (Centro),escuela,degree_c,-0.162,0.0,True
9,México,Querétaro,Bajío (Centro),farmacia,betweenness_c,-0.1358,0.0,True
9,México,Querétaro,Bajío (Centro),farmacia,closeness_c,-0.2085,0.0,True
9,México,Querétaro,Bajío (Centro),farmacia,degree_c,-0.1582,0.0,True
9,México,Querétaro,Bajío (Centro),hospital,betweenness_c,-0.0839,0.0,True
9,México,Querétaro,Bajío (Centro),hospital,closeness_c,-0.5027,0.0,True
9,México,Querétaro,Bajío (Centro),hospital,degree_c,-0.089,0.0,True
9,México,Querétaro,Bajío (Centro),mercado,betweenness_c,-0.1954,0.0,True
9,México,Querétaro,Bajío (Centro),mercado,closeness_c,-0.215,0.0,True
9,México,Querétaro,Bajío (Centro),mercado,degree_c,-0.2447,0.0,True
9,México,Querétaro,Bajío (Centro),parque,betweenness_c,-0.1156,0.0,True
9,México,Querétaro,Bajío (Centro),parque,closeness_c,-0.0967,0.0,True
9,México,Querétaro,Bajío (Centro),parque,degree_c,-0.157,0.0,True
9,México,Querétaro,Bajío (Centro),policia,betweenness_c,-0.1054,0.0,True
9,México,Querétaro,Bajío (Centro),policia,closeness_c,-0.174,0.0,True
9,México,Querétaro,Bajío (Centro),policia,degree_c,-0.1212,0.0,True
10,México,Ciudad de México,Centro,bomberos,betweenness_c,-0.0665,0.0,True
10,México,Ciudad de México,Centro,bomberos,closeness_c,-0.6433,0.0,True
10,México,Ciudad de México,Centro,bomberos,degree_c,-0.0357,0.0,True
10,México,Ciudad de México,Centro,clinica,betweenness_c,-0.0935,0.0,True
10,México,Ciudad de México,Centro,clinica,closeness_c,-0.2159,0.0,True
10,México,Ciudad de México,Centro,clinica,degree_c,-0.1298,0.0,True
10,México,Ciudad de México,Centro,escuela,betweenness_c,-0.0839,0.0,True
10,México,Ciudad de México,Centro,escuela,closeness_c,-0.1237,0.0,True
10,México,Ciudad de México,Centro,escuela,degree_c,-0.1028,0.0,True
10,México,Ciudad de México,Centro,farmacia,betweenness_c,-0.0955,0.0,True
10,México,Ciudad de México,Centro,farmacia,closeness_c,-0.1333,0.0,True
10,México,Ciudad de México,Centro,farmacia,degree_c,-0.1825,0.0,True
10,México,Ciudad de México,Centro,hospital,betweenness_c,-0.054,0.0,True
10,México,Ciudad de México,Centro,hospital,closeness_c,-0.3075,0.0,True
10,México,Ciudad de México,Centro,hospital,degree_c,-0.0484,0.0,True
10,México,Ciudad de México,Centro,mercado,betweenness_c,-0.1281,0.0,True
10,México,Ciudad de México,Centro,mercado,closeness_c,-0.2924,0.0,True
10,México,Ciudad de México,Centro,mercado,degree_c,-0.2045,0.0,True
10,México,Ciudad de México,Centro,parque,betweenness_c,-0.0168,0.001968,True
10,México,Ciudad de México,Centro,parque,closeness_c,-0.247,0.0,True
10,México,Ciudad de México,Centro,parque,degree_c,-0.0703,0.0,True
10,México,Ciudad de México,Centro,policia,betweenness_c,-0.013,0.017097,True
10,México,Ciudad de México,Centro,policia,closeness_c,0.0061,0.261229,False
10,México,Ciudad de México,Centro,policia,degree_c,0.013,0.016551,True
11,México,Puebla,Centro-Oriente,bomberos,betweenness_c,-0.0179,0.002294,True
11,México,Puebla,Centro-Oriente,bomberos,closeness_c,-0.3066,0.0,True
11,México,Puebla,Centro-Oriente,bomberos,degree_c,-0.0033,0.574775,False
11,México,Puebla,Centro-Oriente,clinica,betweenness_c,-0.0967,0.0,True
11,México,Puebla,Centro-Oriente,clinica,closeness_c,-0.3714,0.0,True
11,México,Puebla,Centro-Oriente,clinica,degree_c,-0.1675,0.0,True
11,México,Puebla,Centro-Oriente,escuela,betweenness_c,-0.1536,0.0,True
11,México,Puebla,Centro-Oriente,escuela,closeness_c,-0.3505,0.0,True
11,México,Puebla,Centro-Oriente,escuela,degree_c,-0.2081,0.0,True
11,México,Puebla,Centro-Oriente,farmacia,betweenness_c,-0.1181,0.0,True
11,México,Puebla,Centro-Oriente,farmacia,closeness_c,-0.5404,0.0,True
11,México,Puebla,Centro-Oriente,farmacia,degree_c,-0.1816,0.0,True
11,México,Puebla,Centro-Oriente,hospital,betweenness_c,-0.0901,0.0,True
11,México,Puebla,Centro-Oriente,hospital,closeness_c,-0.5502,0.0,True
11,México,Puebla,Centro-Oriente,hospital,degree_c,-0.118,0.0,True
11,México,Puebla,Centro-Oriente,mercado,betweenness_c,-0.1406,0.0,True
11,México,Puebla,Centro-Oriente,mercado,closeness_c,-0.5494,0.0,True
11,México,Puebla,Centro-Oriente,mercado,degree_c,-0.1791,0.0,True
11,México,Puebla,Centro-Oriente,parque,betweenness_c,-0.1436,0.0,True
11,México,Puebla,Centro-Oriente,parque,closeness_c,-0.4035,0.0,True
11,México,Puebla,Centro-Oriente,parque,degree_c,-0.2229,0.0,True
